Reference;Water/binder ratio;Coarse aggregate/binder ratio;Fine aggregate/binder ratio;Heating rate, °C/min;Moisture content;Characteristic length, mm;Maximum exposure temperature, °C;Silica fume/binder ratio;Maximum aggregate size, mm;GGBS/binder ratio;Fly ash/binder ratio;Quantity of PP fiber, kg/m³;Diameter of PP fiber, um;Length of PP fiber,mm;Quantity of S fiber, kg/m³;Diameter of S fiber, mm;Length of S fiber,mm;output
1;0.201;1.278;1.109;5;0.05;51;100;0.1;13;0;0;0;0;0;0;0;0;0
1;0.201;1.278;1.109;5;0.05;51;200;0.1;13;0;0;0;0;0;0;0;0;0
1;0.201;1.278;1.109;5;0.05;51;300;0.1;13;0;0;0;0;0;0;0;0;1
1;0.201;1.278;1.109;5;0.05;51;450;0.1;13;0;0;0;0;0;0;0;0;1
1;0.3;1.278;1.109;5;0.061;51;100;0.1;13;0;0;0;0;0;0;0;0;0
1;0.3;1.278;1.109;5;0.061;51;200;0.1;13;0;0;0;0;0;0;0;0;0
1;0.3;1.278;1.109;5;0.061;51;300;0.1;13;0;0;0;0;0;0;0;0;1
1;0.3;1.278;1.109;5;0.061;51;450;0.1;13;0;0;0;0;0;0;0;0;0
1;0.3;1.278;1.109;5;0.063;51;100;0;13;0;0;0;0;0;0;0;0;0
1;0.3;1.278;1.109;5;0.063;51;200;0;13;0;0;0;0;0;0;0;0;0
1;0.3;1.278;1.109;5;0.063;51;300;0;13;0;0;0;0;0;0;0;0;0
1;0.3;1.278;1.109;5;0.063;51;450;0;13;0;0;0;0;0;0;0;0;0
1;0.566;2.268;2.307;5;0.073;51;100;0;13;0;0;0;0;0;0;0;0;0
1;0.566;2.268;2.307;5;0.073;51;200;0;13;0;0;0;0;0;0;0;0;0
1;0.566;2.268;2.307;5;0.073;51;300;0;13;0;0;0;0;0;0;0;0;0
1;0.566;2.268;2.307;5;0.073;51;450;0;13;0;0;0;0;0;0;0;0;0
2;0.26;1.93;0.9;10;0.035;50;200;0.083;20;0;0.083;0;0;0;0;0;0;0
2;0.26;1.93;0.9;10;0.035;50;400;0.083;20;0;0.083;0;0;0;0;0;0;1
