idx_original;Reference;Water/binder ratio;Coarse aggregate/binder ratio;Fine aggregate/binder ratio;Heating rate, °C/min;Moisture content;Characteristic length, mm;Maximum exposure temperature, °C;Silica fume/binder ratio;Maximum aggregate size, mm;GGBS/binder ratio;Fly ash/binder ratio;Quantity of PP fiber, kg/m³;Diameter of PP fiber, um;Length of PP fiber,mm;Quantity of S fiber, kg/m³;Diameter of S fiber, mm;Length of S fiber,mm;output
0;1;0.201;1.278;1.109;5.0;0.05;51.0;100.0;0.1;13.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
1;1;0.201;1.278;1.109;5.0;0.05;51.0;200.0;0.1;13.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
2;1;0.201;1.278;1.109;5.0;0.05;51.0;300.0;0.1;13.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;1
3;1;0.201;1.278;1.109;5.0;0.05;51.0;450.0;0.1;13.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;1
4;1;0.3;1.278;1.109;5.0;0.061;51.0;100.0;0.1;13.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
5;1;0.3;1.278;1.109;5.0;0.061;51.0;200.0;0.1;13.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
6;1;0.3;1.278;1.109;5.0;0.061;51.0;300.0;0.1;13.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;1
7;1;0.3;1.278;1.109;5.0;0.061;51.0;450.0;0.1;13.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
8;1;0.3;1.278;1.109;5.0;0.063;51.0;100.0;0.0;13.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
9;1;0.3;1.278;1.109;5.0;0.063;51.0;200.0;0.0;13.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
10;1;0.3;1.278;1.109;5.0;0.063;51.0;300.0;0.0;13.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
11;1;0.3;1.278;1.109;5.0;0.063;51.0;450.0;0.0;13.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
12;1;0.566;2.268;2.307;5.0;0.073;51.0;100.0;0.0;13.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
13;1;0.566;2.268;2.307;5.0;0.073;51.0;200.0;0.0;13.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
14;1;0.566;2.268;2.307;5.0;0.073;51.0;300.0;0.0;13.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
15;1;0.566;2.268;2.307;5.0;0.073;51.0;450.0;0.0;13.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
16;2;0.26;1.93;0.9;10.0;0.035;50.0;200.0;0.083;20.0;0.0;0.083;0.0;0.0;0;0.0;0.0;0;0
