reference_id;short_reference;year;full_reference;doi_or_url
1;Phan et al., 2001;2001;Phan, L.T., Lawson, J.R., Davis, F.L.: Effects of elevated temperature exposure on heating characteristics, spalling, and residual properties of high performance concrete. Mater. Struct. 34(2), 83–91 (2001);https://doi.org/10.1007/BF02481556
2;Chen and Liu, 2004;2004;Chen, B., Liu, J.: Residual strength of hybrid-fiber-reinforced high-strength concrete after exposure to high temperatures. Cem. Concr. Res. 34(6), 1065–1069 (2004);https://doi.org/10.1016/j.cemconres.2003.11.010
3;Li et al., 2004;2004;Li, M., Qian, C., Sun, W.: Mechanical properties of high-strength concrete after fire. Cem. Concr. Res. 34(6), 1001–1005 (2004);https://doi.org/10.1016/j.cemconres.2003.11.007
4;Peng et al., 2006;2006;Peng, G.-F., Yang, W.-W., Zhao, J., Liu, Y.-F., Bian, S.-H., Zhao, L.-H.: Explosive spalling and residual mechanical properties of fiber-toughened high-performance concrete subjected to high temperatures. Cem. Concr. Res. 36(4), 723–727 (2006);https://doi.org/10.1016/j.cemconres.2005.12.014
5;Arioz, 2007;2007;Arioz, O.: Effects of elevated temperatures on properties of concrete. Fire Saf. J. 42(8), 516–522 (2007);https://doi.org/10.1016/j.firesaf.2007.01.003
6;Boström et al., 2007;2007;Boström, L., Wickström, U., Adl-Zarrabi, B.: Effect of specimen size and loading conditions on spalling of concrete. Fire Mater. 31(3), 173–186 (2007);https://doi.org/10.1002/fam.931
7;Sideris, 2007;2007;Sideris, K.K.: Mechanical characteristics of self-consolidating concretes exposed to elevated temperatures. J. Mater. Civ. Eng. 19(8), 648–654 (2007);https://doi.org/10.1061/(ASCE)0899-1561(2007)19:8(648)
8;Sideris et al., 2009;2009;Sideris, K.K., Manita, P., Chaniotakis, E.: Performance of thermally damaged fibre reinforced concretes. Constr. Build. Mater. 23(3), 1232–1239 (2009);https://doi.org/10.1016/j.conbuildmat.2008.08.009
9;Bangi and Horiguchi, 2011;2011;Bangi, M.R., Horiguchi, T.: Pore pressure development in hybrid fibre-reinforced high strength concrete at elevated temperatures. Cem. Concr. Res. 41(11), 1150–1156 (2011);https://doi.org/10.1016/j.cemconres.2011.07.001
10;Tai et al., 2011;2011;Tai, Y.-S., Pan, H.-H., Kung, Y.-N.: Mechanical properties of steel fiber reinforced reactive powder concrete following exposure to high temperature reaching 800 °C. Nucl. Eng. Des. 241(7), 2416–2424 (2011);https://doi.org/10.1016/j.nucengdes.2011.04.008
11;Zhang, 2011;2011;Zhang, B.: Effects of moisture evaporation (weight loss) on fracture properties of high performance concrete subjected to high temperatures. Fire Saf. J. 46(8), 543–549 (2011);https://doi.org/10.1016/j.firesaf.2011.07.010
12;Zhao and Sanjayan, 2011;2011;Zhao, R., Sanjayan, J.G.: Geopolymer and Portland cement concretes in simulated fire. Mag. Concr. Res. 63(3), 163–173 (2011);https://doi.org/10.1680/macr.9.00110
13;Pan et al., 2012;2012;Pan, Z., Sanjayan, J.G., Kong, D.L.Y.: Effect of aggregate size on spalling of geopolymer and Portland cement concretes subjected to elevated temperatures. Constr. Build. Mater. 36, 365–372 (2012);https://doi.org/10.1016/j.conbuildmat.2012.04.120
14;Akca and Özyurt Zihnioğlu, 2013;2013;Akca, A.H., Özyurt Zihnioğlu, N.: High performance concrete under elevated temperatures. Constr. Build. Mater. 44, 317–328 (2013);https://doi.org/10.1016/j.conbuildmat.2013.03.005
